Status;Age;Able;Mild;Moderate;Severe;Profound;Dead
Able;20;0.990045;0.005229;0.001793;0.000926;0.000808;0.001199
Able;21;0.9898656;0.0053294;0.0018274;0.0009438;0.0008235;0.0012104
Able;22;0.9896862;0.0054298;0.0018618;0.0009616;0.000839;0.0012218
Able;23;0.9895068;0.0055302;0.0018962;0.0009794;0.0008545;0.0012332
Able;24;0.9893274;0.0056306;0.0019306;0.0009972;0.00087;0.0012446
Able;25;0.989148;0.005731;0.001965;0.001015;0.0008855;0.001256
Able;26;0.9889686;0.0058314;0.0019994;0.0010328;0.000901;0.0012674
Able;27;0.9887892;0.0059318;0.0020338;0.0010506;0.0009165;0.0012788
Able;28;0.9886098;0.0060322;0.0020682;0.0010684;0.000932;0.0012902
Able;29;0.9884304;0.0061326;0.0021026;0.0010862;0.0009475;0.0013016
Able;30;0.988251;0.006233;0.002137;0.001104;0.000963;0.001313
Able;31;0.9877907;0.0064823;0.0022225;0.0011481;0.0010015;0.0013559
Able;32;0.9873304;0.0067316;0.002308;0.0011922;0.00104;0.0013988
Able;33;0.9868701;0.0069809;0.0023935;0.0012363;0.0010785;0.0014417
Able;34;0.9864098;0.0072302;0.002479;0.0012804;0.001117;0.0014846
Able;35;0.9859495;0.0074795;0.0025645;0.0013245;0.0011555;0.0015275
Able;36;0.9854892;0.0077288;0.00265;0.0013686;0.001194;0.0015704
Able;37;0.9850289;0.0079781;0.0027355;0.0014127;0.0012325;0.0016133
Able;38;0.9845686;0.0082274;0.002821;0.0014568;0.001271;0.0016562
Able;39;0.9841083;0.0084767;0.0029065;0.0015009;0.0013095;0.0016991
Able;40;0.983648;0.008726;0.002992;0.001545;0.001348;0.001742
Able;41;0.9824388;0.0093394;0.0032023;0.0016537;0.0014427;0.001924
Able;42;0.9812296;0.0099528;0.0034126;0.0017624;0.0015374;0.002106
Able;43;0.9800204;0.0105662;0.0036229;0.0018711;0.0016321;0.002288
Able;44;0.9788112;0.0111796;0.0038332;0.0019798;0.0017268;0.00247
Able;45;0.977602;0.011793;0.0040435;0.0020885;0.0018215;0.002652
Able;46;0.9763928;0.0124064;0.0042538;0.0021972;0.0019162;0.002834
Able;47;0.9751836;0.0130198;0.0044641;0.0023059;0.0020109;0.003016
Able;48;0.9739744;0.0136332;0.0046744;0.0024146;0.0021056;0.003198
Able;49;0.9727652;0.0142466;0.0048847;0.0025233;0.0022003;0.00338
Able;50;0.971556;0.01486;0.005095;0.002632;0.002295;0.003562
Able;51;0.9684287;0.0163284;0.0055985;0.0028922;0.0025219;0.0042303
Able;52;0.9653014;0.0177968;0.006102;0.0031524;0.0027488;0.0048986
Able;53;0.9621741;0.0192652;0.0066055;0.0034126;0.0029757;0.0055669
Able;54;0.9590468;0.0207336;0.007109;0.0036728;0.0032026;0.0062352
Able;55;0.9559195;0.022202;0.0076125;0.003933;0.0034295;0.0069035
Able;56;0.9527922;0.0236704;0.008116;0.0041932;0.0036564;0.0075718
Able;57;0.9496649;0.0251388;0.0086195;0.0044534;0.0038833;0.0082401
Able;58;0.9465376;0.0266072;0.009123;0.0047136;0.0041102;0.0089084
Able;59;0.9434103;0.0280756;0.0096265;0.0049738;0.0043371;0.0095767
Able;60;0.940283;0.029544;0.01013;0.005234;0.004564;0.010245
Able;61;0.9359924;0.0309546;0.0106204;0.0054907;0.0047909;0.012151
Able;62;0.9317018;0.0323652;0.0111108;0.0057474;0.0050178;0.014057
Able;63;0.9274112;0.0337758;0.0116012;0.0060041;0.0052447;0.015963
Able;64;0.9231206;0.0351864;0.0120916;0.0062608;0.0054716;0.017869
Able;65;0.91883;0.036597;0.012582;0.0065175;0.0056985;0.019775
Able;66;0.9145394;0.0380076;0.0130724;0.0067742;0.0059254;0.021681
Able;67;0.9102488;0.0394182;0.0135628;0.0070309;0.0061523;0.023587
Able;68;0.9059582;0.0408288;0.0140532;0.0072876;0.0063792;0.025493
Able;69;0.9016676;0.0422394;0.0145436;0.0075443;0.0066061;0.027399
Able;70;0.897377;0.04365;0.015034;0.007801;0.006833;0.029305
Able;71;0.8779108;0.0512074;0.0181783;0.0097506;0.0088562;0.0340967
Able;72;0.8584446;0.0587648;0.0213226;0.0117002;0.0108794;0.0388884
Able;73;0.8389784;0.0663222;0.0244669;0.0136498;0.0129026;0.0436801
Able;74;0.8195122;0.0738796;0.0276112;0.0155994;0.0149258;0.0484718
Able;75;0.800046;0.081437;0.0307555;0.017549;0.016949;0.0532635
Able;76;0.7805798;0.0889944;0.0338998;0.0194986;0.0189722;0.0580552
Able;77;0.7611136;0.0965518;0.0370441;0.0214482;0.0209954;0.0628469
Able;78;0.7416474;0.1041092;0.0401884;0.0233978;0.0230186;0.0676386
Able;79;0.7221812;0.1116666;0.0433327;0.0253474;0.0250418;0.0724303
Able;80;0.702715;0.119224;0.046477;0.027297;0.027065;0.077222
Able;81;0.679291167;0.115249867;0.044927767;0.0263871;0.026162833;0.107981267
Able;82;0.655867333;0.111275733;0.043378533;0.0254772;0.025260667;0.138740533
Able;83;0.6324435;0.1073016;0.0418293;0.0245673;0.0243585;0.1694998
Able;84;0.609019667;0.103327467;0.040280067;0.0236574;0.023456333;0.200259067
Able;85;0.585595833;0.099353333;0.038730833;0.0227475;0.022554167;0.231018333
Able;86;0.562172;0.0953792;0.0371816;0.0218376;0.021652;0.2617776
Able;87;0.538748167;0.091405067;0.035632367;0.0209277;0.020749833;0.292536867
Able;88;0.515324333;0.087430933;0.034083133;0.0200178;0.019847667;0.323296133
Able;89;0.4919005;0.0834568;0.0325339;0.0191079;0.0189455;0.3540554
Able;90;0.468476667;0.079482667;0.030984667;0.018198;0.018043333;0.384814667
Able;91;0.445052833;0.075508533;0.029435433;0.0172881;0.017141167;0.415573933
Able;92;0.421629;0.0715344;0.0278862;0.0163782;0.016239;0.4463332
Able;93;0.398205167;0.067560267;0.026336967;0.0154683;0.015336833;0.477092467
Able;94;0.374781333;0.063586133;0.024787733;0.0145584;0.014434667;0.507851733
Able;95;0.3513575;0.059612;0.0232385;0.0136485;0.0135325;0.538611
Able;96;0.327933667;0.055637867;0.021689267;0.0127386;0.012630333;0.569370267
Able;97;0.304509833;0.051663733;0.020140033;0.0118287;0.011728167;0.600129533
Able;98;0.281086;0.0476896;0.0185908;0.0109188;0.010826;0.6308888
Able;99;0.257662167;0.043715467;0.017041567;0.0100089;0.009923833;0.661648067
Able;100;0.234238333;0.039741333;0.015492333;0.009099;0.009021667;0.692407333
Able;101;0.2108145;0.0357672;0.0139431;0.0081891;0.0081195;0.7231666
Able;102;0.187390667;0.031793067;0.012393867;0.0072792;0.007217333;0.753925867
Able;103;0.163966833;0.027818933;0.010844633;0.0063693;0.006315167;0.784685133
Able;104;0.140543;0.0238448;0.0092954;0.0054594;0.005413;0.8154444
Able;105;0.117119167;0.019870667;0.007746167;0.0045495;0.004510833;0.846203667
Able;106;0.093695333;0.015896533;0.006196933;0.0036396;0.003608667;0.876962933
Able;107;0.0702715;0.0119224;0.0046477;0.0027297;0.0027065;0.9077222
Able;108;0.046847667;0.007948267;0.003098467;0.0018198;0.001804333;0.938481467
Able;109;0.023423833;0.003974133;0.001549233;0.0009099;0.000902167;0.969240733
Able;110;0;0;0;0;0;1
Mild;20;0.15;0.844587;0.002142;0.001107;0.000965;0.001199
Mild;21;0.15;0.8444947;0.0021832;0.0011282;0.0009835;0.0012104
Mild;22;0.15;0.8444024;0.0022244;0.0011494;0.001002;0.0012218
Mild;23;0.15;0.8443101;0.0022656;0.0011706;0.0010205;0.0012332
Mild;24;0.15;0.8442178;0.0023068;0.0011918;0.001039;0.0012446
Mild;25;0.15;0.8441255;0.002348;0.001213;0.0010575;0.001256
Mild;26;0.15;0.8440332;0.0023892;0.0012342;0.001076;0.0012674
Mild;27;0.15;0.8439409;0.0024304;0.0012554;0.0010945;0.0012788
Mild;28;0.15;0.8438486;0.0024716;0.0012766;0.001113;0.0012902
Mild;29;0.15;0.8437563;0.0025128;0.0012978;0.0011315;0.0013016
Mild;30;0.15;0.843664;0.002554;0.001319;0.00115;0.001313
Mild;31;0.15;0.8434202;0.0026561;0.0013718;0.001196;0.0013559
Mild;32;0.15;0.8431764;0.0027582;0.0014246;0.001242;0.0013988
Mild;33;0.15;0.8429326;0.0028603;0.0014774;0.001288;0.0014417
Mild;34;0.15;0.8426888;0.0029624;0.0015302;0.001334;0.0014846
Mild;35;0.15;0.842445;0.0030645;0.001583;0.00138;0.0015275
Mild;36;0.15;0.8422012;0.0031666;0.0016358;0.001426;0.0015704
Mild;37;0.15;0.8419574;0.0032687;0.0016886;0.001472;0.0016133
Mild;38;0.15;0.8417136;0.0033708;0.0017414;0.001518;0.0016562
Mild;39;0.15;0.8414698;0.0034729;0.0017942;0.001564;0.0016991
Mild;40;0.15;0.841226;0.003575;0.001847;0.00161;0.001742
Mild;41;0.15;0.8405496;0.0038263;0.0019768;0.0017232;0.001924
Mild;42;0.15;0.8398732;0.0040776;0.0021066;0.0018364;0.002106
Mild;43;0.15;0.8391968;0.0043289;0.0022364;0.0019496;0.002288
Mild;44;0.15;0.8385204;0.0045802;0.0023662;0.0020628;0.00247
Mild;45;0.15;0.837844;0.0048315;0.002496;0.002176;0.002652
Mild;46;0.15;0.8371676;0.0050828;0.0026258;0.0022892;0.002834
Mild;47;0.15;0.8364912;0.0053341;0.0027556;0.0024024;0.003016
Mild;48;0.15;0.8358148;0.0055854;0.0028854;0.0025156;0.003198
Mild;49;0.15;0.8351384;0.0058367;0.0030152;0.0026288;0.00338
Mild;50;0.15;0.834462;0.006088;0.003145;0.002742;0.003562
Mild;51;0.15;0.8326099;0.0066898;0.0034559;0.0030132;0.0042303
Mild;52;0.15;0.8307578;0.0072916;0.0037668;0.0032844;0.0048986
Mild;53;0.15;0.8289057;0.0078934;0.0040777;0.0035556;0.0055669
Mild;54;0.15;0.8270536;0.0084952;0.0043886;0.0038268;0.0062352
Mild;55;0.15;0.8252015;0.009097;0.0046995;0.004098;0.0069035
Mild;56;0.15;0.8233494;0.0096988;0.0050104;0.0043692;0.0075718
Mild;57;0.15;0.8214973;0.0103006;0.0053213;0.0046404;0.0082401
Mild;58;0.15;0.8196452;0.0109024;0.0056322;0.0049116;0.0089084
Mild;59;0.15;0.8177931;0.0115042;0.0059431;0.0051828;0.0095767
Mild;60;0.15;0.815941;0.012106;0.006254;0.005454;0.010245
Mild;61;0.15;0.8128711;0.0126919;0.0065608;0.0057252;0.012151
Mild;62;0.15;0.8098012;0.0132778;0.0068676;0.0059964;0.014057
Mild;63;0.15;0.8067313;0.0138637;0.0071744;0.0062676;0.015963
Mild;64;0.15;0.8036614;0.0144496;0.0074812;0.0065388;0.017869
Mild;65;0.15;0.8005915;0.0150355;0.007788;0.00681;0.019775
Mild;66;0.15;0.7975216;0.0156214;0.0080948;0.0070812;0.021681
Mild;67;0.15;0.7944517;0.0162073;0.0084016;0.0073524;0.023587
Mild;68;0.15;0.7913818;0.0167932;0.0087084;0.0076236;0.025493
Mild;69;0.15;0.7883119;0.0173791;0.0090152;0.0078948;0.027399
Mild;70;0.15;0.785242;0.017965;0.009322;0.008166;0.029305
Mild;71;0.15;0.7719454;0.0217225;0.0116518;0.0105836;0.0340967
Mild;72;0.15;0.7586488;0.02548;0.0139816;0.0130012;0.0388884
